family,date,method,plan_cost_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,soc_start_kwh,soc_end_kwh
Q4-2,2025-07-12,m1,35732.7182843428,35732.7182843428,10311.245715220184,46043.963999562984,3151.783626612945,6000.0,6000.0
Q4-2,2025-07-13,m1,68457.89338419876,68457.89338419876,15283.282115228765,83741.17549942753,2359.6620139191964,6000.0,6000.0
Q4-2,2025-07-14,m1,68783.64427039343,68783.64427039343,14819.58138281256,83603.22565320598,2637.414818529009,6000.0,6000.0
Q4-2,2025-07-15,m1,69536.21728918553,69536.21728918553,10894.084947690742,80430.30223687628,2036.1145356432794,6000.0,6000.0
Q4-2,2025-07-16,m1,67501.01684548453,67501.01684548453,17687.784574635865,85188.80142012039,3498.035227080983,6000.0,6000.0
Q4-2,2025-07-17,m1,67352.69793006132,67352.69793006132,24757.040033810437,92109.73796387175,4670.5371439924365,6000.0,6000.0
Q4-2,2025-07-18,m1,39197.74547307394,39197.74547307394,2560.1617274614637,41757.9072005354,1047.6801127681783,6000.0,6000.0
Q4-2,2025-07-19,m1,35859.210694197835,35859.210694197835,7973.949269010338,43833.15996320817,2336.367722045424,6000.0,6000.0
Q4-2,2025-07-20,m1,67123.97025560256,67123.97025560256,13230.142293588737,80354.1125491913,2421.6178772253406,6000.0,6000.0
Q4-2,2025-07-21,m1,67801.67940599476,67801.67940599476,19098.267109182263,86899.94651517703,3795.998718236558,6000.0,6000.0
Q4-2,2025-07-22,m1,69082.44029359374,69082.44029359374,12613.905837866818,81696.34613146055,2602.609291048927,6000.0,6000.0
Q4-2,2025-07-23,m1,67572.26430741549,67572.26430741549,21599.21501345823,89171.47932087372,4093.033132986012,6000.0,6000.0
Q4-2,2025-07-24,m1,68386.69344068204,68386.69344068204,18561.223415392215,86947.91685607425,3777.0888793978793,6000.0,6000.0
Q4-2,2025-07-25,m1,38980.42414640136,38980.42414640136,1669.7037807931415,40650.1279271945,643.8399123252063,6000.0,6000.0
