date,method,plan_cost_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,mean_reserve_kw,soc_start_kwh,soc_end_kwh
2025-05-22,m1,32064.06201205527,32064.06201205527,12824.322654966752,44888.38466702202,2784.5246699193094,0.0,1200.0000000000077,1200.000000000002
2025-05-23,m1,15188.016565747983,15188.016565747983,3961.005573496975,19149.022139244957,1365.225906027328,0.0,1200.000000000002,1200.000000000002
2025-05-24,m1,13421.72242345538,13421.72242345538,6545.521891533299,19967.24431498868,1787.9840898243415,0.0,1200.000000000002,1200.0000000000032
2025-05-25,m1,31694.795981437826,31694.795981437826,12505.943571561358,44200.739552999185,2889.751835836556,0.0,1200.0000000000032,1200.000000000012
2025-05-26,m1,32176.161057494443,32176.161057494443,21279.797618330565,53455.95867582501,5222.324572447405,0.0,1200.000000000012,1199.9999999999968
2025-05-27,m1,32471.83919742293,32471.83919742293,11109.075707478773,43580.9149049017,2616.502007003015,0.0,1199.9999999999968,1199.9999999999957
2025-05-28,m1,31807.286761412113,31807.286761412113,20749.915403419436,52557.20216483155,5122.938553014181,0.0,1199.9999999999957,1200.000000000009
2025-05-29,m1,32213.80780262465,32213.80780262465,22706.61938323269,54920.42718585734,5187.973435778129,0.0,1200.000000000009,1199.9999999999982
2025-05-30,m1,15549.402791021714,15549.402791021714,2537.733590092652,18087.136381114367,858.8653203387521,0.0,1199.9999999999982,1199.999999999998
2025-05-31,m1,13492.263801755362,13492.263801755362,7696.029703962267,21188.29350571763,2250.7134873131436,0.0,1199.999999999998,1200.0000000000032
2025-06-01,m1,32208.50250332887,32208.50250332887,83795.24924380344,116003.75174713231,20714.639122546236,0.0,1200.0000000000032,1200.0000000000023
2025-06-02,m1,33411.73817107377,33411.73817107377,70621.33388636519,104033.07205743896,16940.359641260016,0.0,1200.0000000000023,1200.0000000000075
2025-06-03,m1,36779.13493821367,36779.13493821367,45962.30440968496,82741.43934789863,11068.432434178485,0.0,1200.0000000000075,1200.0000000000023
2025-06-04,m1,36886.443560276064,36886.443560276064,46654.85872315982,83541.30228343589,12227.127922066791,0.0,1200.0000000000023,1200.0000000000055
2025-06-05,m1,39795.13034722238,39795.13034722238,36967.21485422165,76762.34520144403,8883.774812483418,0.0,1200.0000000000055,1199.9999999999973
2025-06-06,m1,19617.249751427873,19617.249751427873,21595.463492956067,41212.71324438394,6178.681260935696,0.0,1199.9999999999973,1199.9999999999957
2025-06-07,m1,15967.141695909166,15967.141695909166,34310.431847193584,50277.57354310275,8420.185623145355,0.0,1199.9999999999957,1200.0000000000002
2025-06-08,m1,42430.39695450742,42430.39695450742,22226.57427450447,64656.97122901189,4497.894077216332,0.0,1200.0000000000002,1199.9999999999998
2025-06-09,m1,43584.16385895685,43584.16385895685,23143.642650177382,66727.80650913423,5078.581573537896,0.0,1199.9999999999998,1199.999999999994
2025-06-10,m1,44494.48465291543,44494.48465291543,18974.672571309115,63469.157224224546,4571.360936859221,0.0,1199.999999999994,1199.9999999999911
2025-06-11,m1,45653.0300853584,45653.0300853584,29064.895384289826,74717.92546964822,6250.016636264114,0.0,1199.9999999999911,1199.9999999999986
2025-06-12,m1,47805.00238651694,47805.00238651694,12751.048913065964,60556.051299582905,2822.3592993296807,0.0,1199.9999999999986,1200.000000000002
2025-06-13,m1,23462.654257094982,23462.654257094982,5188.197147783161,28650.851404878144,1634.2180920229866,0.0,1200.000000000002,1199.9999999999968
2025-06-14,m1,18411.473026029948,18411.473026029948,11859.569983489588,30271.043009519533,3455.452989830519,0.0,1199.9999999999968,1200.0000000000036
2025-06-15,m1,43372.90456219068,43372.90456219068,21845.824202585933,65218.728764776606,4631.771667160497,0.0,1200.0000000000036,1200.0000000000075
2025-06-16,m1,45760.191225689734,45760.191225689734,15119.856739773977,60880.04796546371,3568.7215022200435,0.0,1200.0000000000075,1199.9999999999984
2025-06-17,m1,46459.39766643452,46459.39766643452,21117.578483805344,67576.97615023986,5167.443691570781,0.0,1199.9999999999984,1199.9999999999982
2025-06-18,m1,47169.01831688569,47169.01831688569,10340.247543503183,57509.26586038887,2490.950852942834,0.0,1199.9999999999982,1200.0000000000014
2025-06-19,m1,45228.273390548304,45228.273390548304,14335.091140578512,59563.36453112682,3008.643877258014,0.0,1200.0000000000014,1200.000000000004
2025-06-20,m1,23410.18935524873,23410.18935524873,1174.2921919117566,24584.48154716049,536.5457371962251,0.0,1200.000000000004,1199.9999999999973
2025-06-21,m1,18411.073074103748,18411.073074103748,10284.690861831652,28695.7639359354,2778.4575411262144,0.0,1199.9999999999973,1199.9999999999989
2025-06-22,m1,43153.86903715051,43153.86903715051,15619.023238581412,58772.89227573192,3533.8673471371512,0.0,1199.9999999999989,1200.0000000000005
2025-06-23,m1,44337.865190859215,44337.865190859215,13078.370102338162,57416.23529319737,2937.5104492444207,0.0,1200.0000000000005,1199.9999999999984
2025-06-24,m1,44657.51489991711,44657.51489991711,34090.28110502431,78747.79600494143,8079.119990987616,0.0,1199.9999999999984,1199.9999999999975
2025-06-25,m1,44936.904554082175,44936.904554082175,13664.502859232987,58601.40741331516,3454.1189455165304,0.0,1199.9999999999975,1200.0000000000016
2025-06-26,m1,43646.562672601256,43646.562672601256,13684.39155201121,57330.95422461246,3080.237342098274,0.0,1200.0000000000016,1199.999999999995
2025-06-27,m1,20612.646047727198,20612.646047727198,2543.095688561161,23155.741736288357,868.5161273673696,0.0,1199.999999999995,1200.0000000000007
2025-06-28,m1,17596.21632249799,17596.21632249799,12599.407856861777,30195.624179359766,3549.683953932501,0.0,1200.0000000000007,1200.000000000001
2025-06-29,m1,43237.77351116651,43237.77351116651,18777.308887289808,62015.08239845632,4427.080942238867,0.0,1200.000000000001,1200.0000000000011
2025-06-30,m1,45115.594127483026,45115.594127483026,12441.899570435156,57557.49369791818,3027.0250367616304,0.0,1200.0000000000011,1199.9999999999989
2025-07-01,m1,46142.493447531284,46142.493447531284,36439.16106970492,82581.6545172362,9962.567091496483,0.0,1199.9999999999989,1199.9999999999966
2025-07-02,m1,45735.41178939694,45735.41178939694,32280.611017210766,78016.02280660771,8601.220739979952,0.0,1199.9999999999966,1199.999999999998
2025-07-03,m1,46058.99441942881,46058.99441942881,39396.7188382464,85455.7132576752,9391.18523369038,0.0,1199.999999999998,1199.999999999992
2025-07-04,m1,23317.49131717113,23317.49131717113,19243.16552598978,42560.65684316091,5637.023323596502,0.0,1199.999999999992,1200.0000000000023
2025-07-05,m1,21253.1859813768,21253.1859813768,22196.45577982218,43449.641761198975,6339.235245631588,0.0,1200.0000000000023,1199.9999999999973
2025-07-06,m1,44510.26646689842,44510.26646689842,50934.477829085736,95444.74429598416,11484.525509261843,0.0,1199.9999999999973,1199.9999999999914
2025-07-07,m1,49390.991315898435,49390.991315898435,13958.260139973816,63349.25145587225,3135.2396802199173,0.0,1199.9999999999914,1199.9999999999968
2025-07-08,m1,50942.88150463009,50942.88150463009,16676.74648306834,67619.62798769842,3561.880049721806,0.0,1199.9999999999968,1199.9999999999961
2025-07-09,m1,49520.10666189482,49520.10666189482,12242.861940994313,61762.96860288913,2287.4016642275706,0.0,1199.9999999999961,1199.9999999999925
2025-07-10,m1,49212.8795113166,49212.8795113166,12225.50783979314,61438.38735110973,2728.406965955239,0.0,1199.9999999999925,1199.9999999999957
2025-07-11,m1,27648.04121729573,27648.04121729573,10307.065094462636,37955.10631175837,3121.8945442009644,0.0,1199.9999999999957,1200.0000000000011
2025-07-12,m1,23570.746703618497,23570.746703618497,12759.206918769407,36329.953622387904,3948.651044596609,0.0,1200.0000000000011,1200.0000000000066
2025-07-13,m1,48383.514009587016,48383.514009587016,12949.979624794083,61333.4936343811,2359.6620139191964,0.0,1200.0000000000066,1199.9999999999952
2025-07-14,m1,47228.049085196704,47228.049085196704,13681.875331872434,60909.92441706914,2923.088712676976,0.0,1199.9999999999952,1199.999999999998
2025-07-15,m1,48395.31176524078,48395.31176524078,15321.075680498148,63716.38744573893,4201.645690999308,0.0,1199.999999999998,1199.9999999999952
2025-07-16,m1,46968.64520276735,46968.64520276735,15636.44155448971,62605.08675725706,3646.980510837626,0.0,1199.9999999999952,1199.9999999999957
