date,method,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,soc_start_kwh,soc_end_kwh
2025-06-06,m1,46350.96275787201,0.0,46350.96275787201,0.0,1199.999999999997,1199.999999999997
2025-06-07,m1,20580.33386331536,14117.571341416668,34697.90520473203,3406.9989000000005,1199.999999999997,1199.999999999995
2025-06-08,m1,19575.41766837507,137958.30906847498,157533.72673685005,33520.53528333333,1199.999999999995,1200.0000000000068
2025-06-09,m1,42743.5272549261,30933.749537558328,73677.27679248442,7274.105633333333,1200.0000000000068,1199.999999999998
2025-06-10,m1,46574.382186650546,14444.750649183341,61019.13283583389,3874.602750000002,1199.999999999998,1199.999999999992
2025-06-11,m1,46663.60833025722,27845.42283238333,74509.03116264055,6414.74295,1199.999999999992,1199.9999999999932
2025-06-12,m1,50413.63365519131,6319.843895983334,56733.47755117465,1763.9351000000001,1199.9999999999932,1199.9999999999998
2025-06-13,m1,47647.722148202636,76.26602333333312,47723.988171535966,35.67166666666657,1199.9999999999998,1199.9999999999934
2025-06-14,m1,19439.72253358271,8439.63579235,27879.35832593271,2699.953916666667,1199.9999999999934,1199.9999999999952
2025-06-15,m1,19332.49012991759,168655.75218335833,187988.24231327593,39422.272249999995,1199.9999999999952,1199.9999999999998
2025-06-16,m1,45907.86763564333,17950.764943441667,63858.632579084995,4524.4034666666685,1199.9999999999998,1200.0000000000018
2025-06-17,m1,47630.83680336514,17483.913255458338,65114.75005882348,4607.295966666667,1200.0000000000018,1199.9999999999955
2025-06-18,m1,49043.39812084155,5656.780644174996,54700.17876501655,1614.105216666666,1199.9999999999955,1200.000000000001
2025-06-19,m1,46100.78228954261,11770.62213869166,57871.404428234266,2550.0224999999987,1200.000000000001,1199.999999999995
2025-06-20,m1,44728.8790002362,0.0,44728.8790002362,0.0,1199.999999999995,1199.9999999999945
2025-06-21,m1,18099.42367520463,9016.655416866673,27116.079092071304,2269.803233333335,1199.9999999999945,1200.0000000000025
2025-06-22,m1,17599.359781776846,160911.096791375,178510.45657315184,38691.24346666667,1200.0000000000025,1199.9999999999986
